,title,time,Author,link
73,[新聞] 天天網路開課「練功」 他半年考上北市、, 8/06,asdf1256,https://ptt.cc/bbs/studyteacher/M.1659767834.A.033.html
74,[問卷] 台中市國小教師問卷（抽獎）, 8/06,alicelin109,https://ptt.cc/bbs/studyteacher/M.1659770806.A.F3D.html
75,[高中] 如果學生會打女友？, 8/06,lovekimbum,https://ptt.cc/bbs/studyteacher/M.1659787297.A.FDC.html
76,[高中] 112國文上岸讀書會「滿」, 8/08,thengyushen,https://ptt.cc/bbs/studyteacher/M.1659931328.A.B60.html
77,[[問]] 代理讀在職進修?, 8/08,bana123,https://ptt.cc/bbs/studyteacher/M.1659939977.A.2A2.html
78,[心得] 111中等轉小教心得, 8/09,NTNUFROG,https://ptt.cc/bbs/studyteacher/M.1660026963.A.268.html
79,[心得] 111台南&嘉縣國小英師上榜心得, 8/11,phonics,https://ptt.cc/bbs/studyteacher/M.1660151816.A.FD5.html
80,[國小] 想報考明年的國小代理老師, 8/11,koushan,https://ptt.cc/bbs/studyteacher/M.1660201781.A.B63.html
81,[高中] 高中國文讀書會徵求一位成員【北部】, 8/11,grey213,https://ptt.cc/bbs/studyteacher/M.1660202539.A.D64.html
82,Re: [國小] 想報考明年的國小代理老師, 8/11,m8403051,https://ptt.cc/bbs/studyteacher/M.1660207997.A.795.html
83,Re: [國小] 想報考明年的國小代理老師, 8/11,koushan,https://ptt.cc/bbs/studyteacher/M.1660225537.A.C11.html
84,Re: [國小] 想報考明年的國小代理老師, 8/12,janevieve502,https://ptt.cc/bbs/studyteacher/M.1660268680.A.D22.html
85,[[問]] 碩士和教育學程, 8/12,winnie091049,https://ptt.cc/bbs/studyteacher/M.1660291305.A.B32.html
86,[高中] 林口康橋國際高中國中111第二次教師甄選, 7/28,mathyo,https://ptt.cc/bbs/studyteacher/M.1659000845.A.83C.html
87,[心得] 回饋社會，111台北雙語表藝榜首的準備歷程, 7/28,j6259676,https://ptt.cc/bbs/studyteacher/M.1659020464.A.609.html
88,[高中] 誠徵教甄國文讀書會夥伴, 7/28,steven338,https://ptt.cc/bbs/studyteacher/M.1659023851.A.F77.html
89,[心得] 111國中國文上榜心得, 7/29,inno8953,https://ptt.cc/bbs/studyteacher/M.1659026803.A.9A3.html
90,[國小] 徵國小普通班線上讀書會, 7/29,una5551525,https://ptt.cc/bbs/studyteacher/M.1659075327.A.CF0.html
91,[新聞] 111年度高級中等以下學校及幼兒園教師資, 7/29,wush,https://ptt.cc/bbs/studyteacher/M.1659079932.A.567.html
92,[心得] 111年度教師資格考試心得(理工仔), 7/29,GRneqGR,https://ptt.cc/bbs/studyteacher/M.1659092646.A.8C3.html
93,[新聞] 孩子擺第一付出成養分 代理六年終成教甄, 7/29,asdf1256,https://ptt.cc/bbs/studyteacher/M.1659102671.A.021.html
94,[心得] 111高中音樂科上榜心得, 7/30,smile810157,https://ptt.cc/bbs/studyteacher/M.1659189258.A.214.html
95,[國小] 為何今年小學大開缺?, 7/30,supercilious,https://ptt.cc/bbs/studyteacher/M.1659192865.A.F26.html
96,[國小] 明年會像今年開大缺嗎？, 7/31,petertom0102,https://ptt.cc/bbs/studyteacher/M.1659198362.A.6AB.html
97,[心得] 最後一堂得體哥的口試分享, 7/31,toodirty,https://ptt.cc/bbs/studyteacher/M.1659206576.A.87D.html
98,[心得] 111國中國文上榜心得分享, 7/31,ryoyo112,https://ptt.cc/bbs/studyteacher/M.1659238489.A.7D8.html
99,[心得] 111國小專輔上榜心得, 7/31,jrtaco,https://ptt.cc/bbs/studyteacher/M.1659238801.A.E33.html
100,[[問]] 在私校「懸缺」才算年資？, 8/01,nizaer,https://ptt.cc/bbs/studyteacher/M.1659290399.A.A4E.html
101,[高中] 滿額北北桃--高中國文教甄讀書會徵人, 8/01,haocai,https://ptt.cc/bbs/studyteacher/M.1659318447.A.192.html
102,[新聞] 監察院就代理教師問題通過糾正教育部, 8/01,nari900916,https://ptt.cc/bbs/studyteacher/M.1659357975.A.BEB.html
103,[國小] 111中區聯盟錄取分數, 8/02,mset,https://ptt.cc/bbs/studyteacher/M.1659438204.A.DEC.html
104,[高中] 高中國文教甄讀書會 徵人, 8/03,vjal,https://ptt.cc/bbs/studyteacher/M.1659496805.A.F6A.html
105,[國小] 代理老師應徵的條件？, 8/03,Princess77,https://ptt.cc/bbs/studyteacher/M.1659539105.A.A51.html
